Industry,Location,Primary_AI_Tool,Daily_Token_Usage,Tasks_Automated_Per_Week,Experience_Years,Productivity_Gain_Percent
Media,Germany,Jasper,1741.0,12.0,10.0,62.1
Finance,Japan,Notion AI,389.0,13.0,1.0,49.62
Finance,US,Tableau,396.0,14.0,5.0,51.84
Healthcare,Australia,Tableau,833.0,14.0,0.0,46.86
Retail,Japan,Notion AI,177.0,9.0,3.0,44.92
Legal,Australia,TensorFlow,3917.0,13.0,1.0,52.98
Media,Australia,Notion AI,269.0,12.0,3.0,49.56
Healthcare,US,Salesforce Einstein,384.0,15.0,1.0,55.87
Retail,US,Tableau,684.0,10.0,3.0,43.19
Media,Brazil,ChatGPT,236.0,18.0,2.0,68.79
Finance,Brazil,GitHub Copilot,2454.0,11.0,2.0,67.24
Technology,Australia,Midjourney,1502.0,16.0,3.0,63.06
Healthcare,UK,Salesforce Einstein,2402.0,12.0,6.0,58.57
Technology,US,GitHub Copilot,229.0,5.0,5.0,55.54
Manufacturing,India,Midjourney,1281.0,18.0,1.0,55.66
Finance,Brazil,Salesforce Einstein,269.0,15.0,0.0,53.43
Technology,US,TensorFlow,813.0,12.0,1.0,53.67
Legal,US,GitHub Copilot,1083.0,10.0,6.0,57.92
Healthcare,US,Tableau,771.0,8.0,5.0,52.43
Manufacturing,Germany,Salesforce Einstein,676.0,13.0,4.0,56.05
Media,Australia,Salesforce Einstein,997.0,10.0,0.0,49.15
Legal,Australia,Tableau,842.0,6.0,3.0,46.82
Healthcare,Japan,Notion AI,437.0,12.0,1.0,47.77
Education,Germany,ChatGPT,3757.0,12.0,6.0,74.19
Finance,Japan,Jasper,2222.0,8.0,2.0,44.58
Technology,US,TensorFlow,881.0,9.0,0.0,54.12
Manufacturing,UK,,2351.0,4.0,0.0,43.64
Healthcare,UK,Midjourney,3453.0,11.0,7.0,65.1
Healthcare,Japan,Midjourney,299.0,14.0,4.0,59.66
Finance,Canada,Midjourney,1021.0,13.0,1.0,57.1
Finance,US,Jasper,672.0,18.0,0.0,57.51
Healthcare,Germany,ChatGPT,2991.0,12.0,3.0,64.03
Finance,UK,Tableau,3573.0,16.0,0.0,60.91
Technology,US,Jasper,7215.0,13.0,5.0,69.53
Manufacturing,UK,TensorFlow,565.0,11.0,4.0,52.06
Manufacturing,Germany,Tableau,41.0,8.0,8.0,48.27
Finance,Brazil,Midjourney,1100.0,8.0,1.0,54.05
Manufacturing,Japan,ChatGPT,2067.0,14.0,0.0,
Finance,Canada,Tableau,2115.0,10.0,5.0,60.98
Legal,Brazil,Jasper,66.0,15.0,2.0,50.87
Legal,Brazil,ChatGPT,788.0,12.0,4.0,50.98
Healthcare,Germany,Tableau,2401.0,9.0,0.0,49.64
Manufacturing,Brazil,ChatGPT,563.0,15.0,0.0,57.32
Technology,Brazil,Tableau,983.0,9.0,1.0,46.8
Education,Germany,Midjourney,764.0,9.0,6.0,61.48
Healthcare,US,ChatGPT,541.0,14.0,5.0,59.69
Legal,US,Jasper,5934.0,9.0,4.0,55.77
Technology,US,Midjourney,855.0,9.0,0.0,57.21
Finance,US,Tableau,130.0,13.0,3.0,56.56
Legal,India,Jasper,,14.0,0.0,42.92
Healthcare,Germany,ChatGPT,18091.0,11.0,0.0,60.47
Education,Brazil,ChatGPT,183.0,13.0,2.0,55.71
Technology,US,Notion AI,259.0,13.0,5.0,52.76
Media,US,ChatGPT,1092.0,10.0,7.0,66.78
Media,,Jasper,8427.0,16.0,8.0,75.05
Media,Germany,Midjourney,27.0,8.0,5.0,47.85
Technology,UK,GitHub Copilot,1800.0,14.0,6.0,68.24
Education,Japan,Midjourney,845.0,8.0,0.0,50.76
Healthcare,US,ChatGPT,503.0,7.0,4.0,53.75
Finance,Brazil,Tableau,2189.0,10.0,0.0,45.08
Healthcare,UK,GitHub Copilot,2199.0,17.0,0.0,60.8
Media,Australia,Tableau,1744.0,17.0,2.0,64.24
Media,US,GitHub Copilot,180.0,12.0,4.0,60.16
Retail,US,Tableau,1081.0,11.0,1.0,48.82
Media,Germany,Jasper,218.0,17.0,2.0,
Technology,India,TensorFlow,639.0,9.0,2.0,57.05
Retail,India,Salesforce Einstein,810.0,15.0,1.0,55.93
Legal,Brazil,Tableau,875.0,9.0,4.0,46.68
Manufacturing,Canada,TensorFlow,1992.0,8.0,4.0,50.12
Technology,UK,GitHub Copilot,1314.0,7.0,6.0,65.4
Retail,Australia,Notion AI,1447.0,10.0,5.0,47.02
Legal,India,Midjourney,92.0,10.0,8.0,54.87
Healthcare,Germany,Tableau,1935.0,11.0,7.0,54.94
Media,India,ChatGPT,1114.0,8.0,3.0,59.97
Technology,US,Midjourney,1043.0,7.0,0.0,57.98
Retail,India,GitHub Copilot,1691.0,14.0,0.0,55.55
Retail,Canada,Tableau,817.0,11.0,0.0,47.62
Education,India,ChatGPT,9956.0,10.0,1.0,60.49
Retail,India,Notion AI,716.0,13.0,3.0,46.29
Technology,Canada,Notion AI,802.0,8.0,5.0,57.33
Media,UK,GitHub Copilot,415.0,9.0,0.0,51.74
Finance,Canada,GitHub Copilot,,4.0,5.0,59.44
Education,,TensorFlow,2353.0,7.0,0.0,50.04
Finance,India,Notion AI,2402.0,14.0,2.0,61.15
Media,Canada,GitHub Copilot,3806.0,14.0,3.0,57.85
Retail,Australia,Midjourney,441.0,14.0,1.0,54.63
Education,US,ChatGPT,2846.0,14.0,6.0,65.99
Technology,Germany,Tableau,581.0,6.0,7.0,56.86
Media,Canada,Salesforce Einstein,880.0,15.0,0.0,60.55
Education,Brazil,Midjourney,778.0,10.0,7.0,54.74
Finance,India,TensorFlow,3099.0,11.0,5.0,59.64
Legal,US,Notion AI,,10.0,3.0,48.69
Finance,Germany,Salesforce Einstein,569.0,5.0,1.0,50.13
Retail,US,Salesforce Einstein,2251.0,15.0,1.0,49.02
Legal,Brazil,Midjourney,340.0,12.0,8.0,57.35
Education,UK,Jasper,3880.0,20.0,4.0,65.05
Finance,Australia,Midjourney,1082.0,10.0,1.0,52.68
Retail,Canada,ChatGPT,1756.0,15.0,1.0,48.04
Legal,UK,GitHub Copilot,373.0,12.0,1.0,50.22
Manufacturing,Germany,ChatGPT,2694.0,7.0,0.0,44.86
Manufacturing,Australia,GitHub Copilot,6855.0,10.0,0.0,54.2
Technology,Australia,,1283.0,9.0,6.0,62.01
Technology,UK,Salesforce Einstein,236.0,17.0,2.0,62.78
,Brazil,ChatGPT,3923.0,18.0,2.0,62.87
Education,Japan,Salesforce Einstein,139.0,11.0,2.0,49.97
Legal,Japan,Midjourney,300.0,9.0,1.0,44.81
Finance,Germany,TensorFlow,16304.0,14.0,2.0,62.64
Technology,Canada,Tableau,153.0,9.0,5.0,58.72
Healthcare,Australia,Tableau,992.0,7.0,0.0,47.6
Finance,Japan,TensorFlow,1013.0,12.0,5.0,64.23
Legal,US,Notion AI,1248.0,10.0,10.0,58.55
Legal,,GitHub Copilot,470.0,19.0,,61.45
Manufacturing,Germany,GitHub Copilot,1540.0,17.0,1.0,55.28
Healthcare,Japan,TensorFlow,135.0,9.0,2.0,44.03
Media,Japan,Salesforce Einstein,1149.0,12.0,1.0,60.74
Education,Japan,ChatGPT,856.0,14.0,0.0,52.08
Manufacturing,India,Notion AI,1633.0,7.0,5.0,46.29
Manufacturing,India,ChatGPT,1084.0,10.0,2.0,53.67
Finance,Australia,TensorFlow,3117.0,10.0,1.0,52.73
Media,Australia,TensorFlow,564.0,16.0,1.0,57.86
Manufacturing,Germany,Tableau,901.0,8.0,3.0,48.46
Media,Germany,GitHub Copilot,615.0,14.0,8.0,67.89
Manufacturing,Canada,ChatGPT,739.0,12.0,0.0,43.57
Retail,US,Jasper,5766.0,11.0,6.0,61.72
Technology,UK,Notion AI,4668.0,13.0,3.0,63.92
Media,India,ChatGPT,65.0,13.0,0.0,53.56
Technology,Germany,Jasper,10082.0,10.0,4.0,65.19
Media,UK,Midjourney,2871.0,8.0,4.0,62.88
Education,Brazil,Notion AI,794.0,15.0,1.0,55.43
Healthcare,US,Salesforce Einstein,652.0,8.0,2.0,55.49
Retail,Australia,Midjourney,32.0,12.0,1.0,44.19
Media,Australia,Tableau,5201.0,12.0,4.0,60.56
Retail,Japan,GitHub Copilot,2935.0,14.0,3.0,63.1
Finance,Brazil,Notion AI,280.0,8.0,5.0,57.53
Education,Brazil,ChatGPT,713.0,18.0,6.0,60.01
Retail,UK,Jasper,4928.0,12.0,4.0,58.52
Education,Germany,Jasper,4424.0,13.0,1.0,55.91
Finance,Japan,Jasper,2097.0,15.0,3.0,59.43
Finance,Canada,Jasper,993.0,12.0,2.0,62.62
Retail,UK,Notion AI,882.0,13.0,2.0,58.84
Media,Germany,Salesforce Einstein,122.0,9.0,1.0,
Legal,UK,Tableau,982.0,11.0,0.0,41.82
Legal,Australia,Notion AI,253.0,8.0,3.0,45.44
Legal,UK,Tableau,211.0,15.0,5.0,51.49
Manufacturing,Brazil,,215.0,9.0,8.0,58.83
Retail,Brazil,GitHub Copilot,488.0,13.0,5.0,57.09
Legal,Brazil,Notion AI,2089.0,10.0,0.0,46.03
Education,US,GitHub Copilot,673.0,11.0,3.0,59.8
,India,Jasper,1287.0,11.0,3.0,44.71
Technology,Brazil,Notion AI,741.0,9.0,4.0,54.98
Healthcare,UK,Tableau,288.0,15.0,3.0,55.25
Healthcare,UK,TensorFlow,3842.0,15.0,1.0,52.55
Retail,Canada,TensorFlow,513.0,14.0,5.0,63.67
Legal,Japan,Salesforce Einstein,233.0,17.0,1.0,52.5
Healthcare,Canada,TensorFlow,2591.0,13.0,1.0,58.33
Healthcare,Canada,Salesforce Einstein,821.0,14.0,4.0,61.92
Legal,Brazil,TensorFlow,597.0,16.0,10.0,64.02
,India,TensorFlow,1553.0,12.0,4.0,65.86
Healthcare,UK,Salesforce Einstein,,13.0,4.0,55.84
Education,Brazil,ChatGPT,343.0,12.0,2.0,54.3
Technology,Germany,Tableau,877.0,15.0,8.0,59.21
Media,Canada,Salesforce Einstein,809.0,10.0,5.0,61.64
Legal,Japan,TensorFlow,5027.0,17.0,1.0,51.83
Retail,Australia,Jasper,1192.0,10.0,6.0,56.52
Finance,Canada,GitHub Copilot,305.0,11.0,2.0,49.74
Healthcare,Canada,Notion AI,329.0,15.0,7.0,50.4
Manufacturing,India,Notion AI,4370.0,7.0,1.0,49.74
Finance,India,Jasper,959.0,22.0,0.0,65.89
Finance,India,Midjourney,232.0,7.0,0.0,52.41
Media,Germany,TensorFlow,2830.0,10.0,5.0,60.66
Technology,,,553.0,14.0,5.0,53.67
Manufacturing,US,Tableau,892.0,7.0,1.0,42.29
Finance,Japan,TensorFlow,635.0,13.0,3.0,58.59
Technology,UK,Midjourney,2770.0,10.0,6.0,71.73
Legal,US,Notion AI,741.0,13.0,4.0,56.87
Technology,Brazil,Notion AI,487.0,12.0,5.0,
,Japan,TensorFlow,708.0,13.0,5.0,66.4
Media,Brazil,Salesforce Einstein,961.0,10.0,6.0,59.08
Finance,US,ChatGPT,246.0,8.0,3.0,57.12
Healthcare,UK,TensorFlow,188.0,12.0,3.0,47.54
Finance,Canada,Notion AI,3884.0,17.0,2.0,75.17
Legal,UK,Salesforce Einstein,450.0,10.0,5.0,55.91
Finance,Japan,Jasper,396.0,15.0,6.0,62.44
Media,Brazil,Midjourney,1184.0,12.0,5.0,63.79
Manufacturing,US,Jasper,5862.0,14.0,4.0,60.9
Legal,Australia,Notion AI,234.0,11.0,2.0,44.94
Finance,Brazil,Jasper,9969.0,11.0,2.0,56.11
Technology,Brazil,Notion AI,812.0,10.0,4.0,62.4
Healthcare,Brazil,Jasper,11890.0,11.0,2.0,62.42
Retail,Australia,Salesforce Einstein,629.0,12.0,3.0,56.29
Technology,India,TensorFlow,2698.0,13.0,5.0,71.67
Legal,Australia,GitHub Copilot,84.0,,3.0,50.63
Manufacturing,Australia,Jasper,1655.0,12.0,4.0,56.76
Manufacturing,Germany,TensorFlow,1715.0,11.0,4.0,51.36
Healthcare,India,Notion AI,1376.0,9.0,0.0,48.74
Education,Brazil,,9472.0,13.0,0.0,53.04
Manufacturing,India,ChatGPT,880.0,14.0,3.0,50.76
Legal,Brazil,Jasper,547.0,13.0,4.0,52.43
Legal,Japan,TensorFlow,2132.0,9.0,4.0,55.73
Retail,India,Salesforce Einstein,6598.0,11.0,5.0,57.83
Finance,Canada,Midjourney,856.0,11.0,7.0,58.56
Media,India,Midjourney,52.0,10.0,2.0,52.69
Technology,Germany,GitHub Copilot,1195.0,7.0,0.0,54.79
Education,Germany,Midjourney,316.0,9.0,2.0,49.93
Healthcare,Germany,Midjourney,240.0,10.0,1.0,52.53
Manufacturing,Australia,Salesforce Einstein,562.0,10.0,4.0,58.62
Technology,Canada,GitHub Copilot,2047.0,8.0,1.0,65.02
Technology,UK,Tableau,617.0,16.0,2.0,49.54
Media,Japan,Notion AI,2409.0,16.0,1.0,58.63
Education,Australia,Salesforce Einstein,6523.0,13.0,4.0,61.97
Finance,Germany,Jasper,19468.0,11.0,0.0,63.28
Retail,India,Tableau,2395.0,10.0,4.0,53.81
Healthcare,Brazil,Midjourney,12840.0,20.0,0.0,71.33
Technology,UK,ChatGPT,584.0,9.0,5.0,53.7
Education,Canada,GitHub Copilot,7311.0,17.0,2.0,71.47
Media,US,Midjourney,364.0,,1.0,64.71
Manufacturing,,Tableau,1298.0,9.0,6.0,49.93
Finance,Canada,Notion AI,1113.0,8.0,5.0,52.74
Education,India,Jasper,407.0,13.0,,45.0
Media,Germany,Jasper,1712.0,14.0,6.0,60.18
Education,Brazil,Jasper,377.0,18.0,4.0,56.72
Retail,Germany,TensorFlow,9232.0,5.0,2.0,53.38
Manufacturing,UK,TensorFlow,1771.0,7.0,0.0,47.64
Education,UK,TensorFlow,743.0,8.0,8.0,49.75
Finance,US,Jasper,1664.0,7.0,3.0,54.5
Technology,Canada,Jasper,1198.0,13.0,6.0,69.85
Education,UK,Notion AI,1157.0,11.0,3.0,
Healthcare,India,Tableau,213.0,12.0,5.0,51.06
Legal,Japan,GitHub Copilot,11284.0,15.0,6.0,66.74
Technology,Japan,Tableau,1133.0,15.0,3.0,60.46
Media,Canada,GitHub Copilot,9954.0,12.0,4.0,64.49
Retail,US,Jasper,9059.0,8.0,4.0,59.09
Legal,India,ChatGPT,828.0,12.0,5.0,56.27
Retail,Canada,TensorFlow,628.0,4.0,4.0,49.78
Finance,Australia,ChatGPT,548.0,10.0,3.0,55.67
Finance,Canada,Midjourney,4474.0,13.0,1.0,71.32
Legal,India,Midjourney,6054.0,11.0,7.0,60.29
Media,Canada,GitHub Copilot,2803.0,12.0,7.0,68.92
Media,Japan,Midjourney,1099.0,13.0,3.0,64.38
Technology,UK,GitHub Copilot,1519.0,13.0,3.0,69.81
Media,UK,GitHub Copilot,1282.0,14.0,4.0,60.59
Education,,TensorFlow,41597.0,8.0,4.0,60.72
Retail,Canada,Notion AI,3944.0,20.0,2.0,67.27
Media,Brazil,ChatGPT,27.0,12.0,4.0,57.08
Education,UK,ChatGPT,659.0,14.0,7.0,59.24
Education,Brazil,Salesforce Einstein,4746.0,5.0,2.0,51.3
Healthcare,Germany,Tableau,1445.0,18.0,8.0,71.24
Finance,Australia,Salesforce Einstein,917.0,10.0,4.0,60.14
Finance,Canada,Salesforce Einstein,2819.0,8.0,3.0,53.53
Technology,Canada,ChatGPT,484.0,17.0,0.0,59.04
,Japan,Salesforce Einstein,1845.0,12.0,3.0,57.57
Finance,Japan,Tableau,819.0,10.0,0.0,43.63
Legal,Germany,Jasper,722.0,15.0,3.0,54.78
Legal,Australia,TensorFlow,579.0,14.0,3.0,47.08
Healthcare,UK,GitHub Copilot,3979.0,12.0,2.0,69.57
Healthcare,Australia,ChatGPT,940.0,7.0,6.0,50.79
Media,UK,Midjourney,1493.0,7.0,6.0,60.8
Healthcare,India,TensorFlow,2935.0,10.0,3.0,60.08
Education,India,ChatGPT,750.0,4.0,2.0,47.06
Education,Canada,Midjourney,2125.0,12.0,4.0,49.45
Education,US,TensorFlow,818.0,9.0,2.0,51.18
Technology,US,Salesforce Einstein,676.0,14.0,2.0,55.85
Finance,Canada,Midjourney,1584.0,10.0,5.0,67.32
Legal,Germany,ChatGPT,2355.0,16.0,7.0,70.69
Media,,Tableau,743.0,9.0,4.0,56.35
Education,Canada,ChatGPT,1917.0,14.0,3.0,50.61
Education,Brazil,Salesforce Einstein,762.0,12.0,0.0,50.77
Retail,UK,Midjourney,210.0,10.0,0.0,51.11
Finance,US,Notion AI,415.0,9.0,4.0,54.66
Education,Australia,Jasper,749.0,17.0,2.0,57.61
Media,Canada,TensorFlow,934.0,7.0,5.0,60.4
Manufacturing,Japan,Jasper,486.0,16.0,5.0,57.59
Technology,India,Salesforce Einstein,685.0,13.0,6.0,66.1
Education,Japan,GitHub Copilot,155.0,14.0,0.0,48.34
Healthcare,Germany,Salesforce Einstein,818.0,11.0,6.0,60.96
Finance,Japan,TensorFlow,1765.0,17.0,2.0,58.28
Media,UK,ChatGPT,2001.0,12.0,0.0,58.09
Technology,Australia,Jasper,167.0,15.0,0.0,49.84
Legal,Germany,GitHub Copilot,1397.0,14.0,2.0,56.04
Finance,India,Salesforce Einstein,2615.0,7.0,,48.35
Legal,US,Midjourney,1531.0,6.0,0.0,48.54
Technology,UK,GitHub Copilot,1611.0,16.0,4.0,68.22
Media,India,TensorFlow,350.0,10.0,5.0,60.48
Finance,UK,Midjourney,254.0,14.0,3.0,53.75
Legal,UK,ChatGPT,998.0,15.0,1.0,49.73
Retail,Germany,Tableau,4021.0,11.0,1.0,55.41
Education,Brazil,Salesforce Einstein,392.0,16.0,4.0,51.04
Education,UK,TensorFlow,4465.0,13.0,2.0,59.38
Retail,Australia,Notion AI,383.0,10.0,4.0,47.71
Legal,Canada,Tableau,1365.0,11.0,3.0,48.14
Retail,Canada,Salesforce Einstein,149.0,10.0,3.0,40.4
Healthcare,Australia,Salesforce Einstein,560.0,8.0,7.0,57.84
Technology,UK,ChatGPT,215.0,9.0,1.0,56.63
Technology,Australia,TensorFlow,2525.0,16.0,2.0,70.38
Media,Brazil,ChatGPT,2016.0,12.0,5.0,66.51
Healthcare,US,TensorFlow,337.0,6.0,5.0,54.18
Legal,India,Salesforce Einstein,554.0,12.0,6.0,52.63
Technology,Canada,ChatGPT,5979.0,14.0,0.0,69.57
Legal,Germany,Midjourney,129.0,10.0,1.0,44.52
Media,Canada,Notion AI,796.0,11.0,2.0,56.5
Manufacturing,India,TensorFlow,30325.0,7.0,4.0,56.03
Legal,Canada,Tableau,210.0,10.0,5.0,48.39
Media,Germany,Salesforce Einstein,1348.0,19.0,6.0,68.17
Healthcare,,ChatGPT,7403.0,11.0,4.0,62.48
Retail,UK,TensorFlow,1046.0,10.0,2.0,54.7
Healthcare,US,TensorFlow,5278.0,14.0,3.0,62.46
Technology,India,ChatGPT,1810.0,14.0,2.0,67.51
Legal,US,Tableau,4031.0,12.0,4.0,52.21
Retail,Canada,Notion AI,559.0,15.0,1.0,58.55
Retail,US,TensorFlow,295.0,14.0,4.0,57.17
Media,Germany,ChatGPT,6312.0,15.0,4.0,66.08
Legal,Australia,Salesforce Einstein,4347.0,9.0,3.0,50.3
Media,Brazil,ChatGPT,821.0,16.0,4.0,65.13
Retail,Canada,ChatGPT,1413.0,16.0,4.0,56.79
Manufacturing,Germany,Jasper,1400.0,8.0,3.0,50.1
Legal,UK,Midjourney,1856.0,9.0,5.0,59.57
Retail,,Jasper,5809.0,15.0,6.0,65.97
Manufacturing,Japan,Jasper,3619.0,9.0,0.0,53.59
Retail,US,TensorFlow,1076.0,15.0,1.0,49.03
Manufacturing,Germany,TensorFlow,299.0,10.0,8.0,50.94
Finance,Canada,ChatGPT,4070.0,8.0,4.0,59.25
Healthcare,Japan,GitHub Copilot,168.0,9.0,0.0,53.0
Technology,Germany,Midjourney,764.0,9.0,0.0,55.12
Retail,US,Salesforce Einstein,194.0,18.0,0.0,53.45
Manufacturing,Canada,Tableau,11196.0,11.0,0.0,54.05
Technology,Australia,Jasper,254.0,10.0,0.0,53.94
Healthcare,Canada,Salesforce Einstein,441.0,8.0,4.0,52.15
Legal,UK,Notion AI,317.0,12.0,8.0,48.21
Education,UK,Salesforce Einstein,762.0,11.0,2.0,55.05
Technology,Australia,Salesforce Einstein,5937.0,14.0,3.0,67.11
Retail,UK,ChatGPT,1405.0,15.0,3.0,51.15
Retail,Australia,Tableau,557.0,12.0,4.0,57.0
Technology,Australia,ChatGPT,10183.0,9.0,5.0,68.26
Education,Japan,Notion AI,813.0,9.0,0.0,49.7
Manufacturing,India,Midjourney,404.0,19.0,2.0,58.27
Healthcare,Brazil,Jasper,17873.0,8.0,2.0,55.67
Retail,Canada,Salesforce Einstein,1532.0,10.0,1.0,46.59
Manufacturing,Germany,Midjourney,50.0,17.0,0.0,55.48
Education,US,Jasper,538.0,11.0,9.0,62.31
Media,Brazil,TensorFlow,8601.0,9.0,5.0,65.43
Technology,,TensorFlow,1557.0,12.0,3.0,58.12
Manufacturing,Germany,Tableau,1294.0,8.0,5.0,49.96
Education,Brazil,Tableau,885.0,6.0,1.0,42.78
Technology,Japan,ChatGPT,498.0,13.0,,60.79
Retail,Brazil,TensorFlow,3889.0,11.0,1.0,50.12
Finance,Canada,Notion AI,932.0,12.0,6.0,53.31
Retail,Canada,ChatGPT,630.0,6.0,1.0,44.78
Education,Brazil,Midjourney,752.0,7.0,4.0,54.88
Finance,India,ChatGPT,768.0,15.0,4.0,56.31
Technology,Japan,TensorFlow,1101.0,9.0,4.0,71.83
Finance,Germany,TensorFlow,335.0,16.0,4.0,58.25
Retail,Australia,Salesforce Einstein,198.0,13.0,0.0,51.64
Education,India,ChatGPT,3010.0,11.0,5.0,60.42
Healthcare,Australia,Midjourney,962.0,14.0,0.0,56.23
Manufacturing,Japan,Midjourney,,10.0,0.0,48.95
Finance,US,TensorFlow,452.0,10.0,1.0,53.42
Technology,Germany,Salesforce Einstein,3580.0,15.0,4.0,60.49
Legal,US,GitHub Copilot,1328.0,5.0,2.0,52.51
Finance,Brazil,TensorFlow,754.0,16.0,7.0,73.84
Healthcare,India,Jasper,6971.0,8.0,6.0,69.34
Healthcare,Germany,Jasper,1438.0,13.0,8.0,61.77
Media,India,TensorFlow,4141.0,10.0,2.0,58.21
Manufacturing,Germany,GitHub Copilot,417.0,18.0,9.0,66.56
Education,UK,ChatGPT,2185.0,8.0,2.0,53.0
Manufacturing,US,Tableau,91.0,8.0,3.0,39.66
Retail,Japan,Jasper,427.0,15.0,1.0,52.42
Finance,Japan,ChatGPT,20035.0,10.0,2.0,62.47
Retail,US,Tableau,2497.0,12.0,2.0,48.62
Education,Australia,Jasper,3127.0,12.0,5.0,61.82
Technology,Brazil,GitHub Copilot,975.0,12.0,7.0,68.22
Technology,Australia,TensorFlow,411.0,14.0,0.0,57.9
Finance,Germany,Tableau,34020.0,12.0,0.0,65.91
Education,Brazil,TensorFlow,1641.0,11.0,3.0,56.55
Technology,Australia,ChatGPT,1642.0,17.0,3.0,64.44
Technology,Canada,Tableau,128.0,11.0,7.0,52.29
Retail,UK,TensorFlow,678.0,4.0,0.0,39.07
Media,India,GitHub Copilot,283.0,14.0,3.0,63.27
Finance,Canada,Notion AI,205.0,9.0,0.0,40.97
Finance,Canada,ChatGPT,191.0,14.0,6.0,60.66
Media,UK,Tableau,850.0,9.0,4.0,47.71
Media,Australia,TensorFlow,1453.0,11.0,6.0,65.04
Retail,Japan,Midjourney,720.0,12.0,0.0,
Legal,India,GitHub Copilot,1968.0,12.0,7.0,60.15
Legal,US,ChatGPT,95.0,11.0,4.0,49.28
Manufacturing,UK,Tableau,1024.0,13.0,5.0,54.33
Manufacturing,UK,ChatGPT,1247.0,14.0,0.0,53.28
Manufacturing,Canada,TensorFlow,631.0,12.0,6.0,49.74
Retail,Japan,Salesforce Einstein,552.0,12.0,9.0,64.82
Finance,Australia,Midjourney,7698.0,12.0,2.0,60.36
Media,Japan,GitHub Copilot,829.0,8.0,0.0,47.79
Education,Canada,TensorFlow,563.0,11.0,6.0,53.72
Education,Brazil,Salesforce Einstein,3463.0,13.0,3.0,53.13
Education,Brazil,Midjourney,2134.0,6.0,6.0,67.48
Legal,Japan,TensorFlow,267.0,15.0,4.0,49.69
Media,Japan,TensorFlow,2610.0,14.0,4.0,66.29
Manufacturing,Japan,Notion AI,788.0,18.0,3.0,54.81
Media,India,Salesforce Einstein,597.0,11.0,1.0,57.08
Education,US,Notion AI,3844.0,12.0,3.0,55.21
Media,Germany,Jasper,941.0,11.0,6.0,60.14
Legal,India,Tableau,283.0,16.0,,47.19
Manufacturing,Japan,Salesforce Einstein,520.0,17.0,4.0,52.9
Technology,Brazil,GitHub Copilot,3184.0,10.0,1.0,58.15
Manufacturing,Canada,Midjourney,254.0,9.0,0.0,41.16
Education,Japan,GitHub Copilot,779.0,13.0,4.0,54.76
Legal,Australia,Midjourney,5251.0,13.0,5.0,71.78
Retail,Australia,Tableau,2122.0,11.0,0.0,48.95
Media,India,TensorFlow,127.0,11.0,1.0,47.4
Retail,Australia,Tableau,515.0,13.0,2.0,49.22
Education,Canada,GitHub Copilot,1215.0,9.0,1.0,52.67
Technology,Germany,Tableau,927.0,10.0,1.0,52.64
Media,Brazil,TensorFlow,360.0,14.0,5.0,61.5
Media,Japan,Tableau,2087.0,8.0,3.0,51.69
,India,,658.0,12.0,1.0,60.67
Media,UK,TensorFlow,2942.0,12.0,3.0,59.97
Finance,UK,Salesforce Einstein,702.0,12.0,3.0,55.93
Healthcare,Germany,Notion AI,1639.0,6.0,6.0,54.9
Manufacturing,India,Salesforce Einstein,121.0,19.0,4.0,51.66
Education,Canada,Midjourney,5306.0,12.0,4.0,64.07
Healthcare,UK,Tableau,1724.0,9.0,1.0,53.2
Manufacturing,US,TensorFlow,1080.0,13.0,1.0,55.69
Retail,Brazil,Jasper,1286.0,10.0,7.0,52.4
Legal,Canada,Salesforce Einstein,683.0,11.0,4.0,55.8
Legal,UK,ChatGPT,1118.0,10.0,2.0,56.65
Finance,Australia,GitHub Copilot,2387.0,8.0,4.0,68.36
Retail,India,TensorFlow,2519.0,13.0,3.0,56.01
Media,UK,Tableau,454.0,11.0,5.0,56.74
Technology,Canada,Tableau,208.0,13.0,0.0,52.98
Manufacturing,Germany,Salesforce Einstein,1369.0,7.0,4.0,49.08
Finance,UK,Tableau,59.0,14.0,4.0,46.09
Legal,US,Tableau,295.0,10.0,1.0,38.71
Technology,Germany,GitHub Copilot,2608.0,11.0,2.0,61.27
Healthcare,India,GitHub Copilot,582.0,10.0,6.0,60.71
Legal,UK,TensorFlow,120.0,10.0,2.0,37.31
Manufacturing,US,Salesforce Einstein,180.0,10.0,3.0,51.56
Media,Brazil,GitHub Copilot,2274.0,12.0,5.0,65.83
Media,Australia,Jasper,478.0,12.0,1.0,50.11
Retail,Germany,GitHub Copilot,138.0,8.0,3.0,49.05
Legal,Germany,GitHub Copilot,1855.0,12.0,3.0,56.7
Media,Japan,Midjourney,4612.0,10.0,3.0,68.11
Retail,US,ChatGPT,2195.0,11.0,2.0,53.17
Retail,UK,Tableau,1963.0,19.0,1.0,56.99
Legal,Australia,GitHub Copilot,238.0,13.0,3.0,59.63
Media,India,Jasper,281.0,18.0,1.0,56.25
Retail,Germany,Notion AI,1564.0,9.0,3.0,48.53
Retail,Canada,TensorFlow,2478.0,14.0,3.0,
Manufacturing,Japan,Midjourney,886.0,12.0,5.0,56.54
Education,Germany,Jasper,2796.0,15.0,0.0,51.56
Healthcare,Brazil,TensorFlow,14185.0,10.0,4.0,60.34
Healthcare,India,,713.0,12.0,5.0,60.26
Technology,Japan,Jasper,3254.0,13.0,1.0,59.87
Manufacturing,US,TensorFlow,1306.0,10.0,2.0,53.51
Finance,Canada,Midjourney,2592.0,11.0,0.0,
